,year,class,gender,race
1,2000,PBK,male,Asian
2,2000,Summa Cum Laude,male,Asian
3,2000,Thesis,male,Asian
4,2000,PBK,female,White
5,2000,Summa Cum Laude,female,White
6,2000,Thesis,female,White
7,2000,PBK,female,White
8,2000,Summa Cum Laude,female,White
9,2000,PBK,male,White
10,2000,Summa Cum Laude,male,White
11,2000,Thesis,male,White
12,2000,PBK,female,White
13,2000,Summa Cum Laude,female,White
14,2000,Thesis,female,White
15,2000,PBK,female,White
16,2000,Summa Cum Laude,female,White
17,2000,Thesis,female,White
18,2000,PBK,male,White
19,2000,Summa Cum Laude,male,White
20,2000,PBK,male,White
21,2000,Summa Cum Laude,male,White
22,2000,Thesis,male,White
23,2000,PBK,male,Asian
24,2000,Summa Cum Laude,male,Asian
25,2000,PBK,female,Black
26,2000,Summa Cum Laude,female,Black
27,2000,PBK,male,White
28,2000,Summa Cum Laude,male,White
29,2000,Thesis,male,White
30,2000,PBK,female,Black
31,2000,Summa Cum Laude,female,Black
32,2000,Thesis,female,Black
33,2000,Magna Cum Laude,male,White
34,2000,PBK,female,White
35,2000,Magna Cum Laude,female,White
36,2000,PBK,male,White
37,2000,Magna Cum Laude,male,White
38,2000,Magna Cum Laude,male,White
39,2000,PBK,male,Asian
40,2000,Magna Cum Laude,male,Asian
41,2000,PBK,female,White
42,2000,Magna Cum Laude,female,White
43,2000,Thesis,female,White
44,2000,Magna Cum Laude,male,White
45,2000,PBK,female,White
46,2000,Magna Cum Laude,female,White
47,2000,PBK,female,White
48,2000,Magna Cum Laude,female,White
49,2000,PBK,female,White
50,2000,Magna Cum Laude,female,White
51,2000,PBK,female,White
52,2000,Magna Cum Laude,female,White
53,2000,PBK,female,White
54,2000,Magna Cum Laude,female,White
55,2000,Thesis,female,White
56,2000,Magna Cum Laude,female,White
57,2000,Thesis,female,White
58,2000,PBK,male,White
59,2000,Magna Cum Laude,male,White
60,2000,PBK,female,White
61,2000,Magna Cum Laude,female,White
62,2000,Thesis,female,White
63,2000,PBK,male,White
64,2000,Magna Cum Laude,male,White
65,2000,PBK,female,White
66,2000,Magna Cum Laude,female,White
67,2000,Thesis,female,White
68,2000,PBK,male,White
69,2000,Magna Cum Laude,male,White
70,2000,PBK,male,White
71,2000,Magna Cum Laude,male,White
72,2000,Thesis,male,White
73,2000,PBK,female,White
74,2000,Magna Cum Laude,female,White
75,2000,PBK,male,White
76,2000,Magna Cum Laude,male,White
77,2000,Thesis,male,White
