,year,class,gender,race
1,2000,PBK,male,Asian
2,2000,Summa Cum Laude,male,Asian
3,2000,Thesis,male,Asian
4,2000,PBK,female,White/Black
5,2000,Summa Cum Laude,female,White/Black
6,2000,Thesis,female,White/Black
7,2000,PBK,female,White/Black
8,2000,Summa Cum Laude,female,White/Black
9,2000,PBK,male,White/Black
10,2000,Summa Cum Laude,male,White/Black
11,2000,Thesis,male,White/Black
12,2000,PBK,female,White/Black
13,2000,Summa Cum Laude,female,White/Black
14,2000,Thesis,female,White/Black
15,2000,PBK,female,White/Black
16,2000,Summa Cum Laude,female,White/Black
17,2000,Thesis,female,White/Black
18,2000,PBK,male,White/Black
19,2000,Summa Cum Laude,male,White/Black
20,2000,PBK,male,White/Black
21,2000,Summa Cum Laude,male,White/Black
22,2000,Thesis,male,White/Black
23,2000,PBK,male,Asian
24,2000,Summa Cum Laude,male,Asian
25,2000,PBK,female,White/Black
26,2000,Summa Cum Laude,female,White/Black
27,2000,PBK,male,White/Black
28,2000,Summa Cum Laude,male,White/Black
29,2000,Thesis,male,White/Black
30,2000,PBK,female,White/Black
31,2000,Summa Cum Laude,female,White/Black
32,2000,Thesis,female,White/Black
33,2000,Magna Cum Laude,male,White/Black
34,2000,PBK,female,White/Black
35,2000,Magna Cum Laude,female,White/Black
36,2000,PBK,male,White/Black
37,2000,Magna Cum Laude,male,White/Black
38,2000,Magna Cum Laude,male,White/Black
39,2000,PBK,male,Asian
40,2000,Magna Cum Laude,male,Asian
41,2000,PBK,female,White/Black
42,2000,Magna Cum Laude,female,White/Black
43,2000,Thesis,female,White/Black
44,2000,Magna Cum Laude,male,White/Black
45,2000,PBK,female,White/Black
46,2000,Magna Cum Laude,female,White/Black
47,2000,PBK,female,White/Black
48,2000,Magna Cum Laude,female,White/Black
49,2000,PBK,female,White/Black
50,2000,Magna Cum Laude,female,White/Black
51,2000,PBK,female,White/Black
52,2000,Magna Cum Laude,female,White/Black
53,2000,PBK,female,White/Black
54,2000,Magna Cum Laude,female,White/Black
55,2000,Thesis,female,White/Black
56,2000,Magna Cum Laude,female,White/Black
57,2000,Thesis,female,White/Black
58,2000,PBK,male,White/Black
59,2000,Magna Cum Laude,male,White/Black
60,2000,PBK,female,White/Black
61,2000,Magna Cum Laude,female,White/Black
62,2000,Thesis,female,White/Black
63,2000,PBK,male,White/Black
64,2000,Magna Cum Laude,male,White/Black
65,2000,PBK,female,White/Black
66,2000,Magna Cum Laude,female,White/Black
